,Unnamed: 0.1,Unnamed: 0,oid,oy,ox,oGEOID,oMOVEMENT_ID,did,dy,dx,dGEOID,dMOVEMENT_ID,uber_OD,sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
706450,706450,2733191,123541316,34.2572494,-118.588576,6037113101.0,782.0,1717202154,33.9951646,-118.392641,6037702600.0,248.0,"(782.0, 248.0)",782.0,248.0,3,1870.27,464.83,1820.84,1.25
671777,671777,553499,123436618,34.2110706,-118.6230638,6037134302.0,968.0,21569670,34.2064772,-118.6059763,6037134303.0,969.0,"(968.0, 969.0)",968.0,969.0,3,207.69,215.09,122.3,3.02
74478,74478,1680523,122585427,34.2687343,-118.5372456,6037111206.0,778.0,122582590,34.2320257,-118.4862188,6037117303.0,811.0,"(778.0, 811.0)",778.0,811.0,3,846.8,259.42,813.94,1.31
296090,296090,9201,122840460,33.9881323,-118.0951127,6037500700.0,1855.0,122828640,33.9320199,-118.0983232,6037577800.0,264.0,"(1855.0, 264.0)",1855.0,264.0,3,622.73,319.96,563.21,1.53
831641,831641,3555950,352873722,34.0699532,-118.0825679,6037482401.0,1908.0,123308322,33.9850313,-118.0715855,6037501001.0,2298.0,"(1908.0, 2298.0)",1908.0,2298.0,3,946.0,282.21,905.39,1.34
704658,704658,654924,123534868,33.8544677,-118.2622632,6037543322.0,157.0,123498092,33.8295531,-118.2834567,6037543501.0,159.0,"(157.0, 159.0)",157.0,159.0,3,317.88,213.45,265.21,1.84
170156,170156,4267168,122692673,34.0349714,-118.1441978,6037482701.0,1767.0,7370705544,33.9525554,-118.4269836,6037980028.0,1697.0,"(1767.0, 1697.0)",1767.0,1697.0,3,1601.52,408.87,1559.48,1.25
275763,275763,481605,122815445,34.175802,-118.3790599,6037124102.0,883.0,123500260,34.0710374,-118.347431,6037214000.0,1310.0,"(883.0, 1310.0)",883.0,1310.0,3,973.25,217.42,952.73,1.22
437539,437539,4667658,123018630,34.2179129,-118.4544138,6037120030.0,834.0,59830385,34.1016688,-118.3179943,6037191000.0,1114.0,"(834.0, 1114.0)",834.0,1114.0,3,1115.43,298.92,1076.34,1.31
717036,717036,1425160,123578212,34.0728996,-117.9075603,6037406201.0,2080.0,123005160,34.153249,-118.1050048,6037462800.0,1835.0,"(2080.0, 1835.0)",2080.0,1835.0,3,1319.33,145.76,1311.49,1.11
18030,18030,1408257,26187128,34.0830882,-118.2509284,6037197300.0,1166.0,1669564074,34.118496,-118.223542,6037186202.0,1071.0,"(1166.0, 1071.0)",1166.0,1071.0,3,495.13,161.33,471.22,1.36
1069088,1069088,2522651,3567192629,34.1045081,-117.8636253,6037403801.0,2184.0,123231818,34.1343067,-117.8443853,6037400402.0,384.0,"(2184.0, 384.0)",2184.0,384.0,3,577.0,126.22,561.2,1.28
506588,506588,2600319,123115596,34.0065509,-118.1575761,6037532303.0,187.0,122626463,34.0970594,-118.3266707,6037190802.0,1111.0,"(187.0, 1111.0)",187.0,1111.0,3,951.67,171.52,938.66,1.17
401191,401191,422790,122977094,34.2731746,-118.5460138,6037111204.0,776.0,297585583,34.3055419,-118.5032325,6037106603.0,746.0,"(776.0, 746.0)",776.0,746.0,3,696.6,141.54,683.75,1.21
417457,417457,3518005,122994651,33.7801332,-118.2177093,6037980033.0,696.0,4029012072,33.9730188,-118.0742287,6037502200.0,2306.0,"(696.0, 2306.0)",696.0,2306.0,3,1083.0,197.42,1066.72,1.19
641295,641295,3591079,123358173,34.0232799,-118.2424288,6037226001.0,1389.0,1613371721,34.0492994,-118.2222127,6037206054.0,1221.0,"(1389.0, 1221.0)",1389.0,1221.0,3,492.86,233.01,447.43,1.55
733629,733629,3965075,123635271,34.0032827,-118.4774682,6037702102.0,1967.0,1868196584,33.9866103,-118.395667,6037703003.0,253.0,"(1967.0, 253.0)",1967.0,253.0,3,940.69,344.62,890.1,1.38
129374,129374,2398437,122650043,34.1769704,-118.6418085,6037137301.0,994.0,9412531999,34.242678,-118.6147925,6037113237.0,787.0,"(994.0, 787.0)",994.0,787.0,3,723.0,109.93,714.13,1.17
53529,53529,3364878,122556371,33.9716651,-118.1381717,6037534002.0,107.0,604239120,34.0200219,-118.2223204,6037206050.0,1222.0,"(107.0, 1222.0)",107.0,1222.0,3,832.5,213.48,807.17,1.28
856325,856325,4197643,526435855,34.038868,-117.8494765,6037403403.0,2066.0,123368990,33.9651582,-118.0603533,6037502700.0,1942.0,"(2066.0, 1942.0)",2066.0,1942.0,3,1723.38,268.65,1702.42,1.17
761630,761630,2109979,123749330,34.2786496,-118.4521046,6037109500.0,767.0,123369916,34.2216586,-118.4819618,6037117404.0,812.0,"(767.0, 812.0)",767.0,812.0,3,470.83,442.14,364.56,1.88
226716,226716,2621670,122758038,34.0207308,-118.1476257,6037531701.0,2349.0,1751689380,34.0285162,-118.1184955,6037530005.0,1742.0,"(2349.0, 1742.0)",2349.0,1742.0,3,401.8,180.28,365.82,1.54
488094,488094,2434464,123089541,33.9055046,-118.1619616,6037553602.0,1803.0,122903948,33.7826013,-118.1895053,6037575402.0,658.0,"(1803.0, 658.0)",1803.0,658.0,3,894.63,223.17,868.97,1.27
383015,383015,1129703,122949556,34.1701348,-118.6167771,6037137203.0,993.0,122698771,34.2001442,-118.5513331,6037132501.0,956.0,"(993.0, 956.0)",993.0,956.0,3,809.93,242.72,777.86,1.32
385818,385818,818411,122953640,34.1046393,-118.4062301,6037261104.0,1512.0,1906298905,34.1622563,-118.2904942,6037301601.0,361.0,"(1512.0, 361.0)",1512.0,361.0,3,1090.83,270.21,1062.91,1.25
751584,751584,3822037,123703620,33.9306685,-118.1980865,6037540203.0,1704.0,789102300,33.9771263,-118.0787852,6037502200.0,2306.0,"(1704.0, 2306.0)",1704.0,2306.0,3,811.18,175.81,793.58,1.23
1123305,1123305,1155218,4616899173,33.8582344,-118.2388397,6037543321.0,156.0,122839518,33.8737964,-117.94676,6059011000.0,2581.0,"(156.0, 2581.0)",156.0,2581.0,3,1181.9,88.31,1178.76,1.07
2131,2131,4732149,15233988,34.1223523,-118.2306459,6037186301.0,1073.0,123719439,34.1053973,-118.2983851,6037189202.0,1089.0,"(1073.0, 1089.0)",1073.0,1089.0,3,595.7,254.63,557.73,1.4
678816,678816,3050688,123458200,33.8910127,-118.352739,6037603902.0,573.0,123362887,33.9168845,-118.4206477,6037620102.0,324.0,"(573.0, 324.0)",573.0,324.0,3,620.71,249.71,577.92,1.44
869849,869849,1005425,604254020,33.9166054,-118.1747171,6037553601.0,1802.0,122758872,33.8685651,-117.9970313,6059110603.0,2547.0,"(1802.0, 2547.0)",1802.0,2547.0,3,762.45,101.02,756.74,1.13
207818,207818,3227778,122737093,34.0377784,-118.3133413,6037221402.0,1365.0,123480171,34.037023,-118.1628487,6037530500.0,2328.0,"(1365.0, 2328.0)",1365.0,2328.0,3,543.06,179.63,523.57,1.28
567560,567560,4109839,123211723,34.0143895,-117.8639192,6037403401.0,2064.0,317643104,34.0339388,-118.2200863,6037206050.0,1222.0,"(2064.0, 1222.0)",2064.0,1222.0,3,1459.11,195.48,1446.43,1.14
80933,80933,4689422,122593631,33.9580565,-118.2680398,6037240010.0,1485.0,9956711932,33.9142544,-118.0725103,6037552200.0,1781.0,"(1485.0, 1781.0)",1485.0,1781.0,3,1281.0,313.22,1248.94,1.24
678729,678729,3934819,123457761,33.7861966,-118.3534962,6037670202.0,1893.0,123696058,33.8583612,-118.3398798,6037650200.0,2034.0,"(1893.0, 2034.0)",1893.0,2034.0,3,959.71,212.9,936.54,1.25
184806,184806,2642558,122707733,33.9634457,-118.0766669,6037502303.0,2307.0,122854435,34.0219395,-117.9886851,6037408401.0,2231.0,"(2307.0, 2231.0)",2307.0,2231.0,3,523.03,172.34,503.88,1.28
1082766,1082766,2215520,3834108644,33.8925174,-118.2926704,6037603004.0,331.0,122723130,33.9091837,-118.3156551,6037602900.0,329.0,"(331.0, 329.0)",331.0,329.0,3,243.18,150.31,211.65,1.67
